Bayesian 2019-12-28T10:59:24.477417

Iter, Loss, Learning Rate, Weight Decay, Accuracy Validation
iter,1.1649661026183207,0.04794755070539035,0.00020216817708089307,0.5981
iter,1.342791658298225,0.08814500638607438,0.0005357916746684865,0.5364
iter,1.1891386975907976,0.08526745942667029,0.00016417652916194615,0.5936
iter,1.2506555136601636,0.056458735616843704,5.9529760902934714e-05,0.563
iter,1.316970336209437,0.07236398445345325,0.0008298539718231738,0.5477
iter,2.2957123404095885,0.0001,0.0,0.1002
iter,1.2122289880066162,0.026756391872572123,0.001,0.5755
iter,1.2505395036594125,0.08527063129187572,0.00013766379243905814,0.5806
iter,1.254561433366909,0.08486158393134176,0.001,0.5666
iter,1.2653074568244302,0.08599941632156695,0.0009023781851667814,0.5612
iter,1.1525390983387163,0.04942816908910703,0.00016650030126752892,0.6059
iter,1.1829268324906659,0.05069313716693991,0.001,0.5937
iter,1.2263521650794205,0.046582451089229204,0.001,0.5781
iter,1.2242776527526273,0.05196528739689965,0.0,0.5721
iter,1.1468510062071928,0.025001634826500547,0.0009670593888339565,0.5995
iter,1.2249806375260566,0.023740763629047767,0.0,0.5727
iter,1.2365862765129965,0.028302718319988866,0.0,0.5645
iter,1.1812478744300308,0.05392107450296942,0.00014473586598883132,0.5943
iter,1.227712893182305,0.022096077898152437,0.001,0.566
iter,1.2316821118828598,0.020391829265583014,0.0,0.563
iter,1.21454205292805,0.04486340546186743,0.0,0.5757
iter,1.1661979449782403,0.0432179073699281,0.001,0.5884
iter,1.2076658428094948,0.041813018517190124,0.0,0.5824
iter,1.1463462714177028,0.040164563328558875,0.001,0.5998
iter,1.2211022585820241,0.038807204764321424,0.0,0.5766

Results with Bayesian optimizer: {'target': -1.1463462714177028, 'params': {'learning_rate': 0.040164563328558875, 'weight_decay': 0.001}}

QuasiRandom 2019-12-28T12:55:37.011247

Iter, Loss, Learning Rate, Weight Decay, Accuracy Validation
iter,1.1692287546054574,0.049856833984375,1.0800781250000014e-05,0.5964
iter,1.2193119138669057,0.09930733398437501,0.00050580078125,0.586
iter,1.2616112027198645,0.074582083984375,0.00025830078125,0.5628
iter,1.1681847310369942,0.025131583984375004,0.00075330078125,0.597
iter,1.2159581066696508,0.018950271484375003,0.00019642578125,0.5728
iter,1.219653078325235,0.06840077148437501,0.00069142578125,0.5771
iter,1.2016835987188255,0.093126021484375,0.00044392578125,0.5927
iter,1.2077842237083776,0.04367552148437501,0.00093892578125,0.583
iter,1.3364177562628583,0.031312896484375005,0.00032017578125,0.5361
iter,1.1742286036728293,0.080763396484375,0.00081517578125,0.5944
iter,1.1964927114498842,0.056038146484375,7.267578125000001e-05,0.5837
iter,1.3252650894177187,0.006587646484375003,0.00056767578125,0.529
iter,1.4061576780999543,0.005042318359375003,0.00036658203125,0.496
iter,1.1816284318638455,0.05449281835937501,0.00086158203125,0.5932
iter,1.2940110006150167,0.079218068359375,0.00011908203125,0.5529
iter,1.2081626528387617,0.029767568359375003,0.00061408203125,0.5734
iter,1.2553713055932598,0.042130193359375005,0.00024283203125000002,0.5642
iter,1.2241039910134237,0.091580693359375,0.00073783203125,0.5759
iter,1.2055516501141201,0.066855443359375,0.00049033203125,0.582
iter,1.238813478475923,0.017404943359375005,0.00098533203125,0.5615
iter,1.207272444561029,0.023586255859375002,5.7207031250000014e-05,0.5813
iter,1.1753239669617574,0.07303675585937501,0.00055220703125,0.5938
iter,1.2566234465617283,0.097762005859375,0.00030470703125,0.5643
iter,1.2268311054843246,0.048311505859375006,0.00079970703125,0.5723
iter,1.1733129294055282,0.035948880859375004,0.00042845703125,0.5919

Result with quasiRandom optimizer: ({'learning_rate': 0.025131583984375004, 'weight_decay': 0.00075330078125}, NT(optimum=-1.1681847310369942, stats=OrderedDict([('num_evals', 25), ('time', 7879.099662191)]), call_log={'args': {'learning_rate': [0.049856833984375, 0.09930733398437501, 0.074582083984375, 0.025131583984375004, 0.018950271484375003, 0.06840077148437501, 0.093126021484375, 0.04367552148437501, 0.031312896484375005, 0.080763396484375, 0.056038146484375, 0.006587646484375003, 0.005042318359375003, 0.05449281835937501, 0.079218068359375, 0.029767568359375003, 0.042130193359375005, 0.091580693359375, 0.066855443359375, 0.017404943359375005, 0.023586255859375002, 0.07303675585937501, 0.097762005859375, 0.048311505859375006, 0.035948880859375004], 'weight_decay': [1.0800781250000014e-05, 0.00050580078125, 0.00025830078125, 0.00075330078125, 0.00019642578125, 0.00069142578125, 0.00044392578125, 0.00093892578125, 0.00032017578125, 0.00081517578125, 7.267578125000001e-05, 0.00056767578125, 0.00036658203125, 0.00086158203125, 0.00011908203125, 0.00061408203125, 0.00024283203125000002, 0.00073783203125, 0.00049033203125, 0.00098533203125, 5.7207031250000014e-05, 0.00055220703125, 0.00030470703125, 0.00079970703125, 0.00042845703125]}, 'values': [-1.1692287546054574, -1.2193119138669057, -1.2616112027198645, -1.1681847310369942, -1.2159581066696508, -1.219653078325235, -1.2016835987188255, -1.2077842237083776, -1.3364177562628583, -1.1742286036728293, -1.1964927114498842, -1.3252650894177187, -1.4061576780999543, -1.1816284318638455, -1.2940110006150167, -1.2081626528387617, -1.2553713055932598, -1.2241039910134237, -1.2055516501141201, -1.238813478475923, -1.207272444561029, -1.1753239669617574, -1.2566234465617283, -1.2268311054843246, -1.1733129294055282]}, report=None), {'learning_rate': [0.0005995000000000028, 0.0995005], 'weight_decay': [5.000000000000013e-06, 0.000995], 'num_evals': 25, 'solver_name': 'sobol'})
